name,prompt,negative_prompt
3 Person Naruto,"__enhancer__, (detailed skin:1.1), (full body), __Naruto/naruto_pov_group__,3 Beautiful Woman with natural big breast, __nsfw/nsfw_expression__ in __Naruto/place__ ,__style/realistic__, __genre/fantasy_scifi__,__Naruto/action__ ADCOMM
__Naruto/detailed__ ({detailed pussy,nude|topless}:{1|2}) ADDCOL
__Naruto/detailed__ ({detailed pussy,nude|topless}:{1|2}) ADDCOL
__Naruto/detailed__ ({detailed pussy,nude|topless}:{1|2})","lowres, blurry, bad anatomy, bad hands, missing fingers, extra limbs, deformed, disfigured, bad proportions, worst quality, low quality, jpeg artifacts, watermark, text"
1 Person Naruto,"__enhancer__,(detailed skin:1.1), (full body), __Naruto/naruto_pov_single__,Beautiful Woman, __Naruto/detailed__ ({detailed pussy, nude|topless}:{1|2}), with natural big breast, __nsfw/nsfw_expression__ in __Naruto/place__ ,__style/realistic__, __genre/fantasy_scifi__,__Naruto/action__ ","(anime,cartoon, black and white), (SFW), (censored), extra hand, extra foot, open mouth, lowres, blurry, bad anatomy, bad hands, missing fingers, extra limbs, deformed, disfigured, bad proportions, worst quality, low quality, jpeg artifacts, watermark, text"
2 Person Naruto,"__enhancer__,(detailed skin:1.1), (full body), __Naruto/naruto_pov_group__, 2 Beautiful Woman with natural big breast, __nsfw/nsfw_expression__ in __Naruto/place__ ,__style/realistic__, __genre/fantasy_scifi__,__Naruto/action__ ADCOMM
__Naruto/detailed__ ({detailed pussy, nude|topless}:{1|2}) ADDCOL
__Naruto/detailed__ ({detailed pussy, nude|topless}:{1|2})","lowres, blurry, bad anatomy, bad hands, missing fingers, extra limbs, deformed, disfigured, bad proportions, worst quality, low quality, jpeg artifacts, watermark, text"
CYBERPUNK STYLE,"(__cyberpunk/genre__ at __cyberpunk/place__,__cyberpunk/pose__ wearing __cyberpunk/outfit__ with __cyberpunk/mood__, including __cyberpunk/object__,detail:__cyberpunk/detail__)",
AUTO STYLE,"(__automotive/genre__ at __automotive/place__,__automotive/pose__ wearing __automotive/outfit__ with __automotive/mood__, including __automotive/object__,detail:__automotive/detail__)",
SPORT STYLE,"(__sport/genre__ at __sport/place__,__sport/pose__ wearing __sport/outfit__ with __sport/mood__, including __sport/object__,detail:__sport/detail__)",
DARKFANTASY STYLE,"(__dark_fantasy/genre__ at __dark_fantasy/place__,__dark_fantasy/pose__ wearing __dark_fantasy/outfit__ with __dark_fantasy/mood__, including __dark_fantasy/object__,detail:__dark_fantasy/detail__)",
FANTASY STYLE,"(__fantasy/genre__ at __fantasy/place__,__fantasy/pose__ wearing __fantasy/outfit__ with __fantasy/mood__, including __fantasy/object__,detail:__fantasy/detail__)",
TATOO STYLE,"(__tatoo_piercing/genre__ at __tatoo_piercing/place__,__tatoo_piercing/pose__ wearing __tatoo_piercing/outfit__ with __tatoo_piercing/mood__, including __tatoo_piercing/object__,detail:__tatoo_piercing/detail__)",
Anko Mitarashi,"1girl, mitarashi anko,forehead protector, necklace, trenchcoat, mesh top, mesh shorts, orange skirt",
